Lot Area,Neighborhood,Building Type,House Style,Overall Quality,Overall Condition,Year Built,Year Remodeled/Added,Unfinished Basement (SF),Central Air,1st Floor (SF),2nd Floor (SF),Above Ground Living Area (SF),Bedrooms,Kitchen Quality,Total Rooms,Garage Type,Garage Cars,Garage Area,Wood Deck (SF),Open Porch (SF),Enclosed Porch,Screen Porch,Year Sold,Sale Price,Total Bathrooms,Remodeled Y/N,Total Finished Basement (SF),Finished Basement/Abv Ground Living Area
31770,NAmes,1Fam,1Story,6,5,1960,1960,441,Y,1656,0,1656,3,TA,7,Attchd,2,528,210,62,0,0,2010,215000,2,N,639,2295
11622,NAmes,1Fam,1Story,5,6,1961,1961,270,Y,896,0,896,2,TA,5,Attchd,1,730,140,0,0,120,2010,105000,1,N,612,1508
14267,NAmes,1Fam,1Story,6,6,1958,1958,406,Y,1329,0,1329,3,Gd,6,Attchd,1,312,393,36,0,0,2010,172000,2,N,923,2252
11160,NAmes,1Fam,1Story,7,5,1968,1968,1045,Y,2110,0,2110,3,Ex,8,Attchd,2,522,0,0,0,0,2010,244000,4,N,1065,3175
13830,Gilbert,1Fam,2Story,5,5,1997,1998,137,Y,928,701,1629,3,TA,6,Attchd,2,482,212,34,0,0,2010,189900,3,Y,791,2420
9978,Gilbert,1Fam,2Story,6,6,1998,1998,324,Y,926,678,1604,3,Gd,7,Attchd,2,470,360,36,0,0,2010,195500,3,N,602,2206
4920,StoneBr,TwnhsE,1Story,8,5,2001,2001,722,Y,1338,0,1338,2,Gd,6,Attchd,2,582,0,0,170,0,2010,213500,3,N,616,1954
5005,StoneBr,TwnhsE,1Story,8,5,1992,1992,1017,Y,1280,0,1280,2,Gd,5,Attchd,2,506,0,82,0,144,2010,191500,2,N,263,1543
5389,StoneBr,TwnhsE,1Story,8,5,1995,1996,415,Y,1616,0,1616,2,Gd,5,Attchd,2,608,237,152,0,0,2010,236500,3,Y,1180,2796
7500,Gilbert,1Fam,2Story,7,5,1999,1999,994,Y,1028,776,1804,3,Gd,7,Attchd,2,442,140,60,0,0,2010,189000,3,N,0,1804
10000,Gilbert,1Fam,2Story,6,5,1993,1994,763,Y,763,892,1655,3,TA,7,Attchd,2,440,157,84,0,0,2010,175900,3,Y,0,1655
7980,Gilbert,1Fam,1Story,6,7,1992,2007,233,Y,1187,0,1187,3,TA,6,Attchd,2,420,483,21,0,0,2010,185000,3,Y,935,2122
8402,Gilbert,1Fam,2Story,6,5,1998,1998,789,Y,789,676,1465,3,TA,7,Attchd,2,393,0,75,0,0,2010,180400,3,N,0,1465
10176,Gilbert,1Fam,1Story,7,5,1990,1990,663,Y,1341,0,1341,2,Gd,5,Attchd,2,506,192,0,0,0,2010,171500,3,N,637,1978
6820,StoneBr,TwnhsE,1Story,8,5,1985,1985,0,Y,1502,0,1502,1,Gd,4,Attchd,2,528,0,54,0,140,2010,212000,3,N,1488,2990
53504,StoneBr,1Fam,2Story,8,5,2003,2003,234,Y,1690,1589,3279,4,Ex,12,BuiltIn,3,841,503,36,0,210,2010,538000,5,N,1416,4695
12134,Gilbert,1Fam,1.5Fin,8,7,1988,2005,132,Y,1080,672,1752,4,TA,8,Basment,2,492,325,12,0,0,2010,164000,2,Y,427,2179
11394,StoneBr,1Fam,1Story,9,2,2010,2010,411,Y,1856,0,1856,1,Ex,8,Attchd,3,834,113,0,0,0,2010,394432,3,N,1445,3301
19138,Gilbert,1Fam,1Story,4,5,1951,1951,744,Y,864,0,864,2,TA,4,Detchd,2,400,0,0,0,0,2010,141000,1,N,120,984
13175,NWAmes,1Fam,1Story,6,6,1978,1988,589,Y,2073,0,2073,3,TA,7,Attchd,2,500,349,0,0,0,2010,210000,3,Y,953,3026
11751,NWAmes,1Fam,1Story,6,6,1977,1977,1139,Y,1844,0,1844,3,TA,7,Attchd,2,546,0,122,0,0,2010,190000,2,N,705,2549
10625,NWAmes,1Fam,SFoyer,7,6,1974,1974,0,Y,1173,0,1173,3,Gd,6,Attchd,2,528,0,120,0,0,2010,170000,3,N,1053,2226
7500,Somerst,1Fam,2Story,7,5,2000,2000,281,Y,814,860,1674,3,Gd,7,Attchd,2,663,0,96,0,0,2010,216000,4,N,533,2207
11241,NAmes,1Fam,1Story,6,7,1970,1970,426,Y,1004,0,1004,2,TA,5,Attchd,2,480,0,0,0,0,2010,149000,2,N,578,1582
12537,NAmes,1Fam,1Story,5,6,1971,2008,344,Y,1078,0,1078,3,TA,6,Attchd,2,500,0,0,0,0,2010,149900,3,Y,734,1812
8450,NAmes,1Fam,1Story,5,6,1968,1968,281,Y,1056,0,1056,3,TA,6,Attchd,1,304,0,85,184,0,2010,142000,2,N,775,1831
8400,NAmes,1Fam,1Story,4,5,1970,1970,0,Y,882,0,882,2,TA,4,Attchd,2,525,240,0,0,0,2010,126000,2,N,882,1764
10500,NAmes,1Fam,1Story,4,5,1971,1971,432,Y,864,0,864,3,TA,5,0,0,0,0,0,0,0,2010,115000,1,N,432,1296
5858,NAmes,TwnhsE,1Story,7,5,1999,1999,354,Y,1337,0,1337,2,Gd,5,Attchd,2,511,203,68,0,0,2010,184000,3,N,1051,2388
1680,BrDale,Twnhs,2Story,6,5,1971,1971,327,Y,483,504,987,2,TA,5,Detchd,1,264,275,0,0,0,2010,96000,2,N,156,1143
1680,BrDale,Twnhs,2Story,5,5,1971,1971,225,Y,525,567,1092,3,TA,6,Detchd,1,320,0,0,0,0,2010,105500,2,N,300,1392
1680,BrDale,Twnhs,2Story,6,5,1971,1971,525,Y,525,567,1092,3,TA,6,Detchd,1,264,0,0,0,0,2010,88000,2,N,0,1092
4043,NPkVill,TwnhsE,1Story,6,5,1977,1977,709,Y,1069,0,1069,2,TA,4,Attchd,2,440,0,55,0,165,2010,127500,2,N,360,1429
2280,NPkVill,Twnhs,2Story,6,6,1975,1975,341,Y,855,601,1456,3,Gd,6,Attchd,2,440,173,0,0,0,2010,149900,3,N,514,1970
2280,NPkVill,Twnhs,1Story,7,6,1975,1975,836,Y,836,0,836,2,TA,4,Attchd,1,308,0,30,0,0,2010,120000,1,N,0,836
2280,NPkVill,Twnhs,2Story,6,5,1978,1978,544,Y,855,601,1456,3,TA,7,Attchd,2,440,26,0,0,0,2010,146000,3,N,311,1767
12858,NridgHt,1Fam,2Story,9,5,2009,2010,1590,Y,1627,707,2334,3,Ex,10,Attchd,3,751,144,133,0,0,2010,376162,3,Y,0,2334
11478,NridgHt,1Fam,1Story,8,5,2007,2008,486,Y,1704,0,1704,3,Gd,7,Attchd,3,772,0,50,0,0,2010,306000,3,Y,1218,2922
10159,NridgHt,1Fam,1Story,9,5,2009,2010,284,Y,1940,0,1940,3,Ex,8,Attchd,3,606,168,95,0,0,2010,395192,4,Y,1646,3586
12883,NridgHt,1Fam,1Story,8,5,2009,2010,1544,Y,1544,0,1544,3,Gd,7,Attchd,3,868,0,35,0,0,2010,290941,2,Y,0,1544
12182,NridgHt,1Fam,1Story,7,5,2005,2005,340,Y,1541,0,1541,3,Gd,7,Attchd,2,532,0,70,0,0,2010,220000,2,N,1201,2742
11520,NridgHt,1Fam,1Story,9,5,2005,2005,1588,Y,1698,0,1698,3,Ex,7,Attchd,3,730,192,74,0,0,2010,275000,2,N,110,1808
14122,NridgHt,1Fam,1Story,8,5,2005,2006,1794,Y,1822,0,1822,3,Ex,8,Attchd,3,678,0,119,0,0,2010,259000,2,Y,28,1850
10171,NridgHt,1Fam,1Story,7,5,2004,2004,1515,Y,1535,0,1535,3,Gd,7,Attchd,2,532,0,0,0,0,2010,214000,2,N,2,1537
12919,NridgHt,1Fam,1Story,9,5,2009,2010,142,Y,2364,0,2364,2,Ex,11,Attchd,3,820,0,67,0,0,2010,611657,4,Y,2188,4552
6371,NridgHt,TwnhsE,1Story,7,5,2009,2010,625,Y,1358,0,1358,2,Gd,6,Attchd,2,484,192,35,0,0,2010,224000,3,Y,733,2091
14300,NridgHt,1Fam,1Story,9,5,2003,2004,1473,Y,2696,0,2696,3,Ex,10,Attchd,3,958,220,150,0,0,2010,500000,4,Y,1373,4069
13650,NridgHt,1Fam,2Story,8,5,2002,2002,1093,Y,1687,563,2250,3,Gd,7,Attchd,3,756,238,130,0,0,2010,320000,4,N,578,2828
7658,NridgHt,TwnhsE,1Story,9,5,2005,2005,1296,Y,1752,0,1752,2,Ex,6,Attchd,2,576,196,82,0,0,2010,319900,3,N,456,2208
7132,NridgHt,TwnhsE,1Story,8,5,2006,2006,1346,Y,1370,0,1370,2,Gd,6,Attchd,2,484,120,49,0,0,2010,205000,2,N,24,1394
2628,NridgHt,Twnhs,2Story,7,5,2003,2003,764,Y,764,862,1626,2,Gd,6,BuiltIn,2,474,0,27,0,0,2010,175500,3,N,0,1626
18494,Gilbert,1Fam,1Story,6,5,2005,2005,1324,Y,1324,0,1324,3,Gd,6,Attchd,2,430,36,23,0,0,2010,199500,2,N,0,1324
3203,Blmngtn,TwnhsE,1Story,7,5,2006,2006,1129,Y,1145,0,1145,2,Gd,6,Attchd,2,437,100,116,0,0,2010,160000,2,N,16,1161
3182,Blmngtn,TwnhsE,1Story,8,5,2004,2005,1232,Y,1269,0,1269,2,Gd,6,Attchd,2,430,146,20,0,144,2010,192000,2,Y,24,1293
13300,Gilbert,1Fam,SLvl,7,5,2004,2004,58,Y,744,630,1374,3,Gd,7,BuiltIn,2,400,100,0,0,0,2010,184500,4,N,326,1700
7851,Gilbert,1Fam,2Story,6,5,2002,2002,235,Y,860,1100,1960,4,Gd,8,BuiltIn,2,440,288,48,0,0,2010,216500,4,N,625,2585
